STFID,SQ_MILES,POP_DEN,MINORITY_D,POP2000,WHITE,MINORITY,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,min_per,min_pop2,WHITE_DEN,Shape_Leng,Shape_Area,PER_min
"261635408001",0.06608170877,8867.80942680000,8852.67664621000,"586","6","585","572","0","3","0","0","5","5","0",0.00000000000,90.79668355080,2020.69802846000,171042.20345599999,0.98976109215
"261635401006",0.07603341818,8956.58798915000,8759.30631538000,"681","17","673","634","7","1","0","7","15","9","0",0.00000000000,223.58589693900,1796.71041305000,196801.66896899999,0.97503671072
"261635401003",0.07069084388,8699.85370391000,8346.20111432000,"615","18","600","556","1","4","0","10","26","3","0",0.00000000000,254.62986450500,1712.58842621000,182974.77633100000,0.97073170732
"261635408003",0.26804478504,2566.73525615000,2443.62150113000,"688","32","657","638","1","9","0","2","6","1","0",0.00000000000,119.38303517000,3803.46248423000,693784.39274899999,0.95348837209
"261635408002",0.09143985788,9066.06833366000,8727.04768427000,"829","34","800","783","2","0","0","2","8","5","0",0.00000000000,371.82909933000,2168.57884491000,236677.08975700001,0.95898673100
"261635401004",0.07514665507,10379.70351870000,10153.47921120000,"780","17","763","752","4","1","0","0","6","0","0",0.00000000000,226.22430745800,2208.79565552000,194507.33295400001,0.97820512821
"261635409001",0.13620275955,8208.35057743000,8112.90464048000,"1118","19","1106","1085","1","4","0","1","8","7","0",0.00000000000,139.49790784500,2587.08289307000,352530.77146500000,0.98300536673
"261635408004",0.06523077454,9673.34826965000,9504.71620789000,"631","13","620","608","0","0","0","0","10","2","0",0.00000000000,199.29243661700,1651.15041336000,168836.95036700001,0.97939778130
"261635401001",0.05614122040,8407.36978304000,8193.62309364000,"472","13","460","439","0","1","0","0","19","1","0",0.00000000000,231.55891351600,1539.53633939000,145315.62633500001,0.97245762712
"261635409002",0.10547064743,6750.69336714000,6418.84748533000,"712","36","678","661","2","1","1","1","10","2","0",0.00000000000,341.32719272100,2186.21744918000,272984.56593099999,0.94943820225
"261635418001",0.21249920835,6000.02235255000,4051.77980043000,"1275","428","867","762","9","31","0","6","39","20","0",0.00000000000,2014.12515050000,3100.82308037000,549984.29866400000,0.66431372549
"261635415005",0.10921519001,7434.86322651000,6958.73898048000,"812","56","760","741","0","4","0","0","11","4","0",0.00000000000,512.74918803500,2409.35416409000,282672.73096199997,0.93103448276
"261635415001",0.05653271374,17618.11761990000,16875.18494920000,"996","53","974","849","12","0","0","20","62","31","0",0.00000000000,937.51027495500,1964.26237145000,146319.73531300001,0.94678714859
"261635563003",0.51406652261,2207.88545854000,184.80098551700,"1135","1058","102","24","1","36","0","7","9","25","0",0.00000000000,2058.09939660000,5239.00857389000,1330365.57389000012,0.06784140969
"261635417002",0.28074641327,6653.69141586000,6422.16575096000,"1868","85","1809","1710","8","19","1","6","39","26","0",0.00000000000,302.76433102200,4937.42460525000,726625.51827100001,0.95449678801
"261635541001",0.14854994798,3911.14239971000,578.92985606700,"581","511","87","44","3","9","0","1","13","17","0",0.00000000000,3439.92042384000,2740.24280915000,384469.47015499999,0.12048192771
"261635541004",0.24156819473,6565.43383870000,542.28993245200,"1586","1486","141","36","15","7","0","10","32","41","0",0.00000000000,6151.47205820000,3297.59917561000,625207.29144800000,0.06305170240
"261635541003",0.15994403648,4157.70424842000,618.96649713300,"665","577","101","54","7","11","0","2","14","13","0",0.00000000000,3607.51180652000,3402.66899103000,413956.96152000001,0.13233082707
"261635562001",0.49069391085,2794.00247218000,156.92063483400,"1371","1318","79","17","4","18","0","2","12","26","0",0.00000000000,2685.99216509000,4834.21359015000,1269919.29493000009,0.03865791393
"261635561002",0.23116608158,3633.75108613000,302.81259051100,"840","772","74","19","3","33","0","4","9","6","0",0.00000000000,3339.59028392000,3221.91246304000,598265.38611199998,0.08095238095
"261635561003",0.24112591718,4960.06407777000,348.36570445900,"1196","1137","90","14","2","19","0","6","18","31","0",0.00000000000,4715.37864250000,3316.66243182000,624049.08523700002,0.04933110368
"261635563001",0.27911972571,2787.33435278000,125.39421895500,"778","752","37","9","1","11","1","2","2","11","0",0.00000000000,2694.18436156000,3457.16883349000,722348.81398199999,0.03341902314
"261635417001",0.20231655685,2669.08456925000,2417.00435993000,"540","52","489","473","0","1","1","0","13","1","0",0.00000000000,257.02295852000,3782.43873198000,523636.59132800001,0.90370370370
"261635541005",0.15630562313,5725.96162603000,281.49978943600,"895","860","44","19","3","2","0","0","11","9","0",0.00000000000,5502.04133898000,2873.28469802000,404533.83214299998,0.03910614525
"261635562003",0.22982339469,3332.99401926000,539.54472374400,"766","653","128","21","0","74","0","4","14","15","0",0.00000000000,2841.31213391000,3404.99371169000,594778.70734500000,0.14751958225
"261635561001",0.37616033813,2153.33706907000,186.09085782100,"810","747","71","2","7","19","0","1","34","8","0",0.00000000000,1985.85529703000,6274.76325818000,973518.07399299997,0.07777777778
"261635564001",0.32663671487,4488.16661835000,887.83650704000,"1466","1197","295","104","0","118","0","5","42","26","0",0.00000000000,3664.62172044000,5650.06539705000,845303.02129099995,0.18349249659
"261635514002",0.13166759275,9007.53158162000,3880.98536105000,"1186","680","516","452","1","26","0","5","22","10","0",0.00000000000,5164.52063702000,2790.63792221000,340909.60562500003,0.42664418213
"261635564003",1.45659439283,1549.50479771000,111.90486576300,"2257","2131","168","8","1","79","0","5","33","42","0",0.00000000000,1463.00164994000,7952.23368575000,3769436.96403999999,0.05582631812
"261635565001",1.92349942785,1143.22882979000,67.58515137450,"2199","2089","130","23","3","49","0","0","35","20","0",0.00000000000,1086.04139401000,9460.94908892000,4977578.58370999992,0.05002273761
"261635602001",0.95348823570,852.65865855500,115.36587016100,"813","711","116","23","0","68","0","6","5","14","0",0.00000000000,745.68303349600,6293.29840983000,2467360.43787000002,0.12546125461
"261635602002",0.64148237010,3847.33878129000,372.57454162400,"2468","2263","250","33","2","130","0","11","29","45","0",0.00000000000,3527.76647571000,7822.74913089000,1659944.30236000009,0.08306320908
"261635601001",0.27874494326,2690.63176975000,96.86274371110,"750","732","27","5","4","2","1","0","6","9","0",0.00000000000,2626.05660728000,4558.79109473000,721287.11413799995,0.02400000000
"261635602004",0.26238668259,4901.16337951000,1036.63797763000,"1286","1075","279","55","0","126","0","7","23","68","0",0.00000000000,4097.00671304000,3522.61691396000,678964.51026500005,0.16407465008
"261635601002",0.31023262896,3935.75622303000,199.85002934300,"1221","1164","80","4","1","24","0","18","10","23","0",0.00000000000,3752.02313153000,4882.88854167000,802755.41408699995,0.04668304668
"261635076002",0.09678722826,10032.31539370000,9278.08364941000,"971","80","903","858","2","2","0","5","24","12","0",0.00000000000,826.55533625100,2389.10211659000,250551.48191100001,0.91761071061
"261635075002",0.09985379735,11697.10147270000,11386.64758090000,"1168","40","1140","1119","0","1","0","3","5","12","0",0.00000000000,400.58566687300,2041.80014122000,258493.36178000001,0.96575342466
"261635607003",4.71427134750,235.03101928700,18.03035797780,"1108","1044","87","8","6","31","0","2","17","23","0",0.00000000000,221.45522033900,14026.72155050000,12198023.23279999942,0.05776173285
"261635607001",0.78286036579,1658.02237120000,71.53255222430,"1298","1249","61","1","1","19","5","5","18","12","0",0.00000000000,1595.43138800000,7048.32407549000,2025689.74262999999,0.03775038521
"261635542004",0.17643988148,6614.15089516000,521.42406371500,"1167","1094","102","16","12","4","0","10","31","29","0",0.00000000000,6200.41223591000,3092.14056979000,456641.68013499997,0.06255355613
"261635001002",0.12878059033,6887.68391043000,4371.77682252000,"887","335","573","492","4","14","0","10","32","21","0",0.00000000000,2601.32368658000,2683.02161066000,333426.07374000002,0.62232243518
"261635002002",0.09209403194,10923.61772850000,7883.24698899000,"1006","278","734","688","4","6","0","8","22","6","0",0.00000000000,3018.65380570000,2007.70706284000,238437.99002100001,0.72365805169
"261635397001",0.14488637780,7502.43063930000,7426.50907809000,"1087","20","1077","1049","0","0","2","1","15","10","0",0.00000000000,138.03920219500,2867.67807376000,375025.21768700000,0.98160073597
"261635415004",0.06397340369,9269.47709188000,8972.47866904000,"593","19","577","550","1","1","0","3","19","3","0",0.00000000000,296.99842284300,1736.04927673000,165577.97428200001,0.96795952783
"261635602003",0.15157021523,5231.89862087000,283.69689873500,"793","766","43","4","3","14","0","0","6","16","0",0.00000000000,5053.76335887000,3227.57947339000,392212.64089699998,0.03404791929
"261635032002",0.12178180389,11898.32925500000,10855.48052120000,"1449","136","1327","1253","0","22","0","5","33","14","0",0.00000000000,1116.75140006000,2387.43627185000,315288.19105700002,0.90614216701
"261635001004",0.07981984658,10185.43676590000,6727.65011474000,"813","288","541","471","5","8","0","4","37","16","0",0.00000000000,3608.12520120000,1831.02796921000,206660.55732100000,0.64575645757
"261635514003",0.13899683253,7942.62703631000,755.41289747600,"1104","1016","113","42","1","23","0","8","14","25","0",0.00000000000,7309.51908414000,3242.48593992000,359886.60972900002,0.07971014493
"261635409004",0.14528950239,8280.02009904000,8114.83266564000,"1203","32","1179","1149","6","3","0","0","13","8","0",0.00000000000,220.24991119600,2639.92618785000,376049.57085299998,0.97339983375
"261635002003",0.07591039706,10551.91424360000,8931.58284288000,"801","125","684","642","7","10","0","6","11","8","0",0.00000000000,1646.67825274000,2010.99582205000,196535.77452899999,0.84394506866
"261635401002",0.12589758163,6727.69078663000,6354.37146317000,"847","53","800","786","0","0","0","0","8","6","0",0.00000000000,420.97710943500,2431.40739915000,325871.76555800001,0.93742621015
"261635401005",0.07464105108,10945.71938830000,10905.52702820000,"817","8","815","797","1","0","0","1","10","6","0",0.00000000000,107.17962681300,1788.99365499000,193197.66594499999,0.99020807834
"261635031002",0.08074461038,11629.25916220000,9350.46929440000,"939","184","756","713","0","22","0","1","19","1","0",0.00000000000,2278.78986778000,2080.44608584000,209049.90277500000,0.80404685836
"261635409003",0.10472172202,9864.23809805000,9482.27340887000,"1033","39","998","972","2","1","0","5","14","4","0",0.00000000000,372.41557195000,2191.99379402000,271046.02045399998,0.96224588577
"261635513003",0.11983581163,4372.64948488000,383.85854256600,"524","485","47","30","3","3","0","1","2","8","0",0.00000000000,4047.20419879000,5232.12628040000,310276.47239800001,0.07442748092
"261635517002",0.25940010257,6202.77318346000,246.72310984500,"1609","1562","65","1","3","25","0","1","17","18","0",0.00000000000,6021.58589967000,3542.07852409000,671655.58949499996,0.02921068987
"261635514004",0.10106812408,7915.45313925000,920.17142743800,"800","719","96","58","1","10","0","3","9","15","0",0.00000000000,7114.01350890000,2923.48303443000,261681.33028900000,0.10125000000
"261635515001",0.23666153940,4039.52413402000,464.79880203100,"956","854","110","83","6","2","0","0","11","8","0",0.00000000000,3608.52888122000,5098.54038598000,612751.48288000003,0.10669456067
"261635392001",0.07614483216,9508.19615065000,9508.19615065000,"724","7","740","681","4","1","0","16","15","23","0",0.00000000000,91.93007327980,2103.54701012000,197098.60318899999,0.99033149171
"261635512001",0.09633986505,7971.77782636000,124.55902853700,"768","763","12","3","0","1","0","0","1","7","0",0.00000000000,7919.87823114000,2036.01126942000,249443.67702900001,0.00651041667
"261635515002",0.38277662012,3735.86035520000,556.46031864200,"1430","1223","222","160","8","10","0","9","20","15","0",0.00000000000,3195.07497511000,6003.31101059000,991061.09453999996,0.14475524476
"261635562002",0.27403737075,2897.41504170000,343.01890921900,"794","728","96","15","4","32","1","2","12","30","0",0.00000000000,2656.57197778000,3641.83791383000,709202.51691000001,0.08312342569
"261635542002",0.15344987068,4164.22638327000,351.90645492400,"639","585","63","14","4","16","0","9","11","9","0",0.00000000000,3812.31992834000,2770.09320960000,397144.43094900000,0.08450704225
"261635003001",0.15491376883,6855.42678364000,5809.68371495000,"1062","181","900","856","1","3","0","0","21","19","0",0.00000000000,1168.39194712000,3011.26410465000,401081.82471299998,0.82956685499
"261635003004",0.09469265386,13137.23873290000,11933.34386510000,"1244","123","1130","1080","2","24","0","0","15","9","0",0.00000000000,1298.93919947000,2115.05544545000,245163.21146699999,0.90112540193
"261635034001",0.09602747395,12350.63207620000,10965.61178430000,"1186","142","1054","842","1","174","0","1","26","10","0",0.00000000000,1478.74346949000,2090.83439374000,248617.11491599999,0.88026981450
"261635033001",0.13097321603,12880.49611270000,11765.76438040000,"1687","145","1549","1394","9","112","0","8","19","7","0",0.00000000000,1107.09658349000,2635.65473003000,339088.40383700002,0.91404860700
"261635034003",0.07917880596,12326.53092220000,10823.60348390000,"976","116","867","670","7","146","2","10","25","7","0",0.00000000000,1465.03851124000,1807.67409796000,204994.33714200000,0.88114754098
"261635033002",0.11805090753,12892.74290110000,12054.12164800000,"1522","104","1423","1292","2","96","0","0","28","5","0",0.00000000000,880.97586183500,2615.68444851000,305631.09427200002,0.93166885677
"261635033003",0.12487042291,9834.19429028000,8865.18980402000,"1228","120","1111","1078","1","16","0","4","9","3","0",0.00000000000,960.99618471800,2433.96068859000,323285.04724900000,0.90228013029
"261635511005",0.31424360468,4509.24053479000,70.00938021560,"1417","1402","23","2","0","4","0","1","8","8","0",0.00000000000,4461.50686646000,5251.39607866000,813644.35948500002,0.01058574453
"261635069004",0.07980186277,10701.50458150000,10162.67004170000,"854","42","813","802","1","0","0","2","7","1","0",0.00000000000,526.30350400900,2157.46970911000,206588.30536299999,0.95081967213
"261635069003",0.07657089954,11113.88275600000,10304.17566920000,"851","66","790","774","0","1","0","1","9","5","0",0.00000000000,861.94625369800,2130.24275398000,198224.74781500001,0.92244418331
"261635074004",0.10248420012,6771.77554369000,6742.50273875000,"694","13","692","673","0","2","1","1","4","11","0",0.00000000000,126.84882142400,2049.66812047000,265301.08414699999,0.98126801153
"261635033004",0.12609160895,10587.54036970000,9596.19763842000,"1335","129","1211","1169","2","21","0","1","13","5","0",0.00000000000,1023.06569864000,2414.36314945000,326444.93971000001,0.90337078652
"261635077001",0.07023237427,9867.24437620000,9383.13714851000,"693","33","661","642","0","7","0","2","9","1","0",0.00000000000,469.86877981900,1746.14913706000,181809.65701299999,0.95238095238
"261635066001",0.09732363578,10840.12112270000,10685.99617780000,"1055","23","1040","1023","2","0","0","0","7","8","0",0.00000000000,236.32491547000,2235.97046563000,251951.57574400000,0.97819905213
"261635069005",0.08018350452,9154.00248991000,8904.57462915000,"734","24","715","695","3","1","0","1","10","5","0",0.00000000000,299.31343291300,2127.13157998000,207575.58923400001,0.96730245232
"261635069002",0.08351707382,9962.03485057000,9507.03806653000,"832","38","794","769","0","4","0","0","21","0","0",0.00000000000,454.99678404000,2144.08347673000,216207.51951099999,0.95432692308
"261635069001",0.08687192085,9853.58665521000,9450.69467749000,"856","41","821","807","0","2","0","0","6","6","0",0.00000000000,471.95917390600,2224.60366767000,224893.30739500001,0.95210280374
"261635069006",0.06778966435,8260.84633024000,7965.81610416000,"560","37","543","496","0","1","1","3","22","20","0",0.00000000000,545.80591824800,2126.32223558000,175490.39204499999,0.93392857143
"261635074001",0.09761144317,8277.71799860000,8113.80279070000,"808","22","792","776","1","1","0","0","8","6","0",0.00000000000,225.38341085300,2080.22251998000,252690.17552300001,0.97277227723
"261635077003",0.09887149259,4743.53110015000,4622.16143448000,"469","14","457","444","1","0","0","0","10","2","0",0.00000000000,141.59794328800,2271.38254527000,255946.00035900000,0.97014925373
"261635074005",0.09336668993,10603.35330190000,10132.09315510000,"990","41","950","920","1","2","0","4","22","1","0",0.00000000000,439.12877310800,1975.64031327000,241700.11208699999,0.95858585859
"261635062002",0.26545243725,5790.11447747000,5364.42616520000,"1537","123","1429","1375","4","8","0","5","22","15","0",0.00000000000,463.35984432600,3353.94489893000,687219.96730100003,0.91997397528
"261635066004",0.12046151081,7305.23794749000,6823.75635550000,"880","60","823","814","1","0","0","1","4","3","0",0.00000000000,498.08440551100,2381.26531576000,311855.79592499998,0.93181818182
"261635066002",0.14677714569,8509.49917371000,8141.59448565000,"1249","54","1196","1168","2","1","0","1","23","1","0",0.00000000000,367.90468805500,2533.94311755000,379978.89609800000,0.95676541233
"261635062001",0.10412728487,13204.99234890000,12782.43259370000,"1375","45","1334","1301","0","1","0","3","25","4","0",0.00000000000,432.16338596300,2296.11614329000,269573.42247799999,0.96727272727
"261635051002",0.08541227583,9717.57270143000,8663.85999887000,"830","90","740","729","1","1","0","0","9","0","0",0.00000000000,1053.71270256000,2001.78958036000,221123.86490600000,0.89156626506
"261635080001",0.12313035467,5287.07971118000,3784.60698220000,"651","191","469","379","4","2","0","3","72","9","0",0.00000000000,1551.20157425000,2588.56433294000,318741.10820700001,0.70660522273
"261635388001",0.17023550785,5633.37233280000,5656.86919342000,"959","5","969","935","0","3","0","6","10","15","0",0.00000000000,29.37107577060,2731.34417358000,440654.55264200002,0.99478623566
"261635066003",0.10658894988,9663.29062419000,8940.88928627000,"1030","74","962","923","1","7","0","9","16","6","0",0.00000000000,694.25583125300,2280.34558319000,275940.59213200002,0.92815533981
"261635382003",0.09780723810,5756.22020350000,5112.09609547000,"563","67","500","475","3","1","0","0","17","4","0",0.00000000000,685.02087679300,2570.48560334000,253181.54132300001,0.88099467140
"261635382001",0.32969088653,2839.02297047000,2368.88561959000,"936","152","790","760","0","4","0","9","11","6","0",0.00000000000,461.03791828200,4597.32545621000,853440.46794899995,0.83760683761
"261635389002",0.18185787799,6521.57615125000,6483.08455508000,"1186","11","1181","1168","4","0","0","2","1","6","0",0.00000000000,60.48679398290,3100.64545051000,470747.16072699998,0.99072512648
"261635393003",0.13393086269,8780.64977985000,8713.45092950000,"1176","11","1169","1148","0","0","0","2","15","4","0",0.00000000000,82.13192821290,2497.87401330000,346674.86786800000,0.99064625850
"261635393001",0.15375745966,7719.95064584000,7537.84566009000,"1187","27","1161","1150","3","3","0","2","2","1","0",0.00000000000,175.60123625800,2911.94221331000,397991.71746199997,0.97725358046
"261635393004",0.11737996225,8493.78361402000,8468.22558910000,"997","15","994","965","1","0","0","0","16","12","0",0.00000000000,127.79012458400,2397.21633462000,303835.12849700003,0.98495486459
"261635511001",0.53181414000,2211.29885715000,73.33389067090,"1176","1136","42","11","0","22","0","3","4","2","0",0.00000000000,2136.08461031000,5542.84476433000,1376998.50487999991,0.03401360544
"261635388002",0.08068739518,8725.03069926000,8700.24368023000,"704","8","702","687","0","0","0","0","9","6","0",0.00000000000,99.14807612800,2112.94907527000,208858.18238000001,0.98863636364
