STFID,WHITE,MINORITY,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC
2.62E+11,506,52,2,4,7,0,11,6,22
2.62E+11,449,15,0,2,1,0,0,0,12
2.62E+11,868,69,1,5,1,0,8,8,46
2.62E+11,630,40,3,5,0,0,4,11,17
2.62E+11,716,63,3,7,6,0,9,9,29
2.62E+11,612,72,1,0,11,1,12,15,32
2.62E+11,1521,119,7,12,42,0,10,22,26
2.62E+11,743,408,206,5,131,1,8,29,28
2.62E+11,824,166,76,4,10,0,8,37,31
2.62E+11,1513,116,23,10,31,0,1,13,38
2.62E+11,961,67,6,1,14,0,11,13,22
2.62E+11,821,54,3,6,4,1,4,11,25
2.62E+11,1764,291,65,10,127,2,12,17,58
2.62E+11,758,45,7,0,1,0,6,4,27
2.62E+11,582,37,0,5,1,0,1,18,12
2.62E+11,602,57,5,3,7,0,5,17,20
2.62E+11,1107,114,63,10,2,0,1,18,20
2.62E+11,1804,151,37,8,4,0,19,35,48
2.62E+11,1749,106,14,8,3,0,14,29,38
2.62E+11,711,43,3,1,4,0,5,7,23
2.62E+11,604,38,0,7,1,0,2,10,18
2.62E+11,1891,143,14,9,15,0,11,32,62
2.62E+11,1121,59,2,5,5,0,2,21,24
2.62E+11,853,78,2,2,9,0,14,17,34
2.62E+11,12,757,748,0,3,1,0,4,1
2.62E+11,6,616,595,0,0,0,0,18,3
2.62E+11,3,792,783,0,3,0,0,4,2
2.62E+11,25,800,761,3,2,0,8,18,8
2.62E+11,17,781,771,3,0,0,1,5,1
2.62E+11,121,922,872,1,6,0,8,22,13
2.62E+11,12,553,546,0,0,0,0,7,0
2.62E+11,4,860,839,1,0,0,0,6,14
2.62E+11,11,624,604,0,1,0,0,12,7
2.62E+11,146,1129,1079,1,15,0,0,24,10
2.62E+11,2,691,661,0,0,0,0,16,14
2.62E+11,7,883,851,1,2,0,4,16,9
2.62E+11,109,722,687,4,5,1,0,19,6
2.62E+11,34,844,803,21,0,1,1,7,11
2.62E+11,62,984,930,5,1,0,12,19,17
2.62E+11,77,1176,1149,4,0,0,4,15,4
2.62E+11,58,1124,1103,1,1,0,0,11,8
2.62E+11,34,465,453,0,1,0,3,8,0
2.62E+11,65,359,322,1,4,0,1,26,5
2.62E+11,57,619,603,0,0,0,7,6,3
2.62E+11,56,571,555,0,0,0,0,9,7
2.62E+11,55,537,517,0,0,0,0,20,0
2.62E+11,141,1036,1007,2,3,0,1,19,4
2.62E+11,10,2115,2052,6,1,0,9,35,12
2.62E+11,22,905,884,6,0,0,1,7,7
2.62E+11,36,814,790,1,0,0,5,9,9
2.62E+11,12,651,637,0,2,1,0,9,2
2.62E+11,20,866,826,2,1,0,5,24,8
2.62E+11,23,549,533,1,3,0,0,4,8
2.62E+11,24,794,775,3,1,0,1,11,3
2.62E+11,3,936,906,3,1,0,0,18,8
2.62E+11,93,1014,974,1,5,0,9,21,4
2.62E+11,9,865,851,0,0,0,2,7,5
2.62E+11,20,977,960,0,0,0,0,9,8
2.62E+11,5,615,599,1,2,0,3,6,4
2.62E+11,572,1204,1061,3,28,0,36,17,59
2.62E+11,2,593,583,0,1,0,1,6,2
2.62E+11,17,800,791,0,0,0,1,7,1
2.62E+11,5,602,588,0,0,0,4,1,9
2.62E+11,4,813,806,2,0,0,0,5,0
2.62E+11,20,1479,1428,3,0,0,2,28,18
2.62E+11,6,609,587,1,0,0,3,16,2
2.62E+11,15,592,579,5,1,0,1,4,2
2.62E+11,10,708,695,3,0,0,0,9,1
2.62E+11,4,342,339,0,0,0,1,0,2
2.62E+11,14,1239,1175,0,2,0,4,41,17
2.62E+11,6,876,852,6,0,0,0,9,9
2.62E+11,9,1086,1045,1,15,0,5,10,10
2.62E+11,9,1163,1149,0,0,0,3,6,5
2.62E+11,6,398,396,1,0,0,0,0,1
2.62E+11,33,1410,1385,4,6,0,0,9,6
2.62E+11,325,1069,238,16,534,1,11,261,8
2.62E+11,177,859,698,1,11,2,7,119,21
2.62E+11,38,727,704,1,2,0,5,14,1
2.62E+11,178,1004,702,10,204,1,8,68,11
2.62E+11,5,830,820,0,3,0,1,1,5
2.62E+11,9,837,826,2,0,1,1,6,1
2.62E+11,10,522,505,0,6,0,2,6,3
2.62E+11,12,1110,1081,2,0,0,2,22,3
2.62E+11,429,776,159,11,411,2,2,183,8
2.62E+11,13,977,927,0,14,0,7,16,13
2.62E+11,30,676,665,0,0,0,0,10,1
2.62E+11,531,854,513,3,223,0,4,100,11
2.62E+11,270,724,528,1,48,0,24,95,28
2.62E+11,0,195,187,0,2,0,0,3,3
2.62E+11,2,1075,1030,7,0,0,1,34,3
2.62E+11,6,740,735,0,0,0,0,2,3
2.62E+11,11,922,895,4,0,0,1,21,1
2.62E+11,2,660,642,2,0,0,1,5,10
2.62E+11,2,670,649,0,0,0,0,14,7
2.62E+11,3,820,816,1,0,0,0,1,2
2.62E+11,2,728,711,0,0,0,0,14,3
2.62E+11,9,817,804,0,0,0,0,8,5
2.62E+11,380,563,435,25,1,1,19,43,39
2.62E+11,7,885,861,0,0,0,7,16,1
2.62E+11,20,578,565,0,1,0,0,3,9
2.62E+11,9,597,584,2,0,0,0,9,2
2.62E+11,53,868,837,1,1,0,1,13,15
2.62E+11,14,710,697,6,0,0,0,4,3
2.62E+11,11,773,755,1,1,0,0,8,8
2.62E+11,5,885,860,1,1,0,0,18,5
2.62E+11,35,734,697,2,11,0,1,16,7
2.62E+11,25,767,758,0,4,0,3,2,0
2.62E+11,27,530,521,1,1,1,0,4,2
2.62E+11,15,637,621,1,2,0,5,7,1
2.62E+11,5,1065,1054,0,1,0,0,8,2
2.62E+11,3,1010,993,2,0,0,1,5,9
2.62E+11,790,638,149,0,218,12,24,215,20
2.62E+11,1231,369,61,1,133,0,3,157,14
2.62E+11,0,0,0,0,0,0,0,0,0
2.62E+11,29,1098,1080,1,1,0,3,11,2
2.62E+11,5,987,952,3,0,0,1,18,13
2.62E+11,4,701,681,0,1,0,0,11,8
2.62E+11,791,363,57,7,139,0,0,151,9
2.62E+11,7,710,703,1,0,0,0,2,4
2.62E+11,10,546,538,0,2,1,0,4,1
2.62E+11,22,1032,997,3,0,0,11,11,10
2.62E+11,61,1104,1034,1,2,0,2,55,10
2.62E+11,45,1136,1116,0,1,0,2,14,3
2.62E+11,42,694,676,3,1,0,2,6,6
2.62E+11,528,252,51,4,74,13,3,93,14
2.62E+11,18,1110,1065,4,2,0,11,8,20
2.62E+11,27,978,958,1,0,0,0,11,8
2.62E+11,12,916,898,0,1,0,0,16,1
2.62E+11,798,704,291,13,181,1,17,178,23
2.62E+11,551,195,23,4,116,0,5,41,6
2.62E+11,580,414,202,4,123,0,7,70,8
2.62E+11,230,718,390,1,111,0,14,188,14
2.62E+11,12,862,832,11,1,0,0,9,9
2.62E+11,3,656,646,0,1,0,0,4,5
2.62E+11,0,0,0,0,0,0,0,0,0
2.62E+11,4,698,687,0,5,0,0,3,3
2.62E+11,1,798,763,2,10,0,0,11,12
2.62E+11,6,971,950,1,0,0,1,9,10
2.62E+11,7,848,817,11,0,0,3,6,11
2.62E+11,3,658,654,1,2,0,0,1,0
2.62E+11,7,877,818,5,1,0,6,20,27
2.62E+11,11,810,785,1,1,0,0,19,4
