STFID,WHITE,MINORITY,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC
2.62E+11,16,942,925,5,0,0,0,9,3
2.62E+11,11,658,651,2,0,0,1,1,3
2.62E+11,5,625,620,1,3,0,0,1,0
2.62E+11,8,823,810,0,1,1,0,9,2
2.62E+11,0,190,188,0,0,0,0,2,0
2.62E+11,11,1187,1155,9,0,1,4,8,10
2.62E+11,14,1018,997,5,2,0,2,8,4
2.62E+11,31,174,160,3,3,0,1,7,0
2.62E+11,543,26,1,2,11,0,1,7,4
2.62E+11,15,772,755,0,0,0,1,10,6
2.62E+11,0,0,0,0,0,0,0,0,0
2.62E+11,696,22,1,0,5,0,0,3,13
2.62E+11,96,544,476,2,11,1,13,27,14
2.62E+11,1261,100,16,4,36,0,4,15,25
2.62E+11,49,1288,1263,3,3,0,1,11,7
2.62E+11,15,689,669,0,0,0,0,7,13
2.62E+11,0,278,278,0,0,0,0,0,0
2.62E+11,361,1079,834,1,177,0,10,30,27
2.62E+11,35,1129,1111,2,0,1,1,13,1
2.62E+11,6,36,32,0,0,1,0,0,3
2.62E+11,36,1165,1139,1,2,0,1,17,5
2.62E+11,1092,50,1,3,14,0,3,5,24
2.62E+11,11,500,487,1,2,0,0,6,4
2.62E+11,14,1000,989,3,2,0,0,5,1
2.62E+11,11,826,798,5,1,0,3,13,6
2.62E+11,8,1020,974,5,0,1,0,28,12
2.62E+11,215,529,487,2,5,1,7,19,8
2.62E+11,2,511,499,2,0,0,1,8,1
2.62E+11,2,718,707,0,0,0,0,2,9
2.62E+11,58,952,921,3,0,0,4,18,6
2.62E+11,19,973,954,4,1,0,0,12,2
2.62E+11,1048,52,14,0,16,0,0,13,9
2.62E+11,4,755,725,3,0,1,0,19,7
2.62E+11,12,963,935,1,2,0,1,18,6
2.62E+11,25,555,539,4,0,0,2,7,3
2.62E+11,89,62,49,1,2,0,1,7,2
2.62E+11,11,762,748,2,2,0,0,7,3
2.62E+11,13,522,510,1,0,0,2,6,3
2.62E+11,86,1637,1603,1,0,0,1,22,10
2.62E+11,20,1162,1142,1,0,0,1,14,4
2.62E+11,18,710,699,1,2,0,1,5,2
2.62E+11,37,1079,1050,1,1,0,2,18,7
2.62E+11,7,552,540,1,1,0,2,6,2
2.62E+11,2,558,555,1,1,0,0,1,0
2.62E+11,9,645,639,0,0,0,0,3,3
2.62E+11,17,785,760,0,0,0,6,10,9
2.62E+11,10,703,683,5,0,0,2,5,8
2.62E+11,68,620,593,5,6,0,0,9,7
2.62E+11,39,807,800,2,1,0,0,2,2
2.62E+11,12,514,512,0,0,0,0,0,2
2.62E+11,62,892,799,0,8,0,25,14,46
2.62E+11,1687,100,37,8,4,0,2,25,24
2.62E+11,47,2250,2191,5,9,0,3,30,12
2.62E+11,1445,59,6,7,9,0,6,8,23
2.62E+11,1101,98,10,8,26,0,12,6,36
2.62E+11,14,419,385,1,14,0,2,15,2
2.62E+11,1402,73,5,2,19,0,6,11,30
2.62E+11,1003,33,0,1,5,0,0,7,20
2.62E+11,13,471,462,0,0,0,0,5,4
2.62E+11,747,40,1,2,0,1,0,17,19
2.62E+11,623,31,9,0,3,0,2,4,13
2.62E+11,571,31,5,1,13,0,2,4,6
2.62E+11,660,39,6,2,5,0,3,9,14
2.62E+11,309,74,12,1,47,0,0,7,7
2.62E+11,19,505,497,0,0,0,1,3,4
2.62E+11,807,68,4,4,15,0,5,14,26
2.62E+11,1025,28,4,6,1,0,2,7,8
2.62E+11,3,775,761,0,0,0,0,11,3
2.62E+11,118,1077,1063,2,0,0,0,9,3
2.62E+11,78,1390,1365,0,3,0,0,18,4
2.62E+11,478,462,347,1,48,0,19,22,25
2.62E+11,0,522,519,1,0,0,0,2,0
2.62E+11,14,671,664,1,0,0,1,4,1
2.62E+11,7,854,825,1,0,0,5,19,4
2.62E+11,12,396,394,0,0,0,0,2,0
2.62E+11,22,1361,1327,0,2,0,2,24,6
2.62E+11,6,664,654,2,1,0,0,5,2
2.62E+11,10,771,752,3,0,0,1,5,10
2.62E+11,13,1190,1150,5,0,0,9,18,8
2.62E+11,25,1075,1027,6,1,1,2,20,18
2.62E+11,12,928,898,7,0,0,9,6,8
2.62E+11,577,29,1,1,3,0,4,6,14
2.62E+11,751,52,8,5,8,0,0,16,15
2.62E+11,426,874,353,1,435,0,22,27,36
2.62E+11,103,1362,1333,2,0,0,7,10,10
2.62E+11,40,1730,1698,0,5,0,5,16,6
2.62E+11,22,807,781,1,4,0,4,9,8
2.62E+11,25,1014,971,5,0,0,2,23,13
2.62E+11,13,1744,1689,8,0,1,1,33,12
2.62E+11,44,879,853,2,1,0,2,12,9
2.62E+11,23,602,590,2,0,1,2,3,4
2.62E+11,917,3029,2868,10,22,0,28,59,42
2.62E+11,129,1274,1253,3,3,0,0,6,9
2.62E+11,4,1130,1123,0,0,0,0,0,7
2.62E+11,7,1065,1042,1,2,0,0,18,2
2.62E+11,284,517,475,3,5,0,4,22,8
2.62E+11,21,529,522,0,0,0,0,3,4
2.62E+11,9,759,732,2,0,0,4,7,14
2.62E+11,6,973,952,3,0,0,0,12,6
2.62E+11,8,724,711,0,0,0,0,10,3
2.62E+11,6,740,718,1,2,0,2,13,4
2.62E+11,55,1178,1148,6,0,2,6,12,4
2.62E+11,9,860,830,1,3,0,4,17,5
2.62E+11,86,668,642,3,1,0,0,17,5
2.62E+11,33,544,537,1,1,0,0,1,4
2.62E+11,18,825,801,1,0,0,0,16,7
2.62E+11,27,707,695,0,1,0,1,6,4
2.62E+11,20,577,566,1,1,0,0,8,1
2.62E+11,50,738,689,2,7,0,3,24,13
2.62E+11,11,576,555,2,0,0,4,6,9
2.62E+11,10,309,303,0,1,0,0,4,1
2.62E+11,322,584,537,3,3,0,3,23,15
2.62E+11,14,1026,1002,2,1,0,5,10,6
2.62E+11,1509,190,10,9,9,0,21,40,101
2.62E+11,1147,368,219,1,73,0,12,19,44
2.62E+11,2973,1108,444,5,487,1,23,66,82
2.62E+11,1396,153,22,5,58,1,8,22,37
2.62E+11,1660,286,81,3,111,0,11,34,46
2.62E+11,910,273,99,7,77,1,13,41,35
2.62E+11,1132,261,88,1,90,0,11,29,42
2.62E+11,1446,147,21,3,56,0,13,23,31
2.62E+11,1295,733,334,12,271,0,20,49,47
2.62E+11,38,1040,995,0,11,0,10,10,14
2.62E+11,186,916,828,6,46,0,5,16,15
2.62E+11,0,1159,1133,0,0,0,7,11,8
2.62E+11,37,930,867,3,3,0,10,28,19
2.62E+11,27,1103,1080,0,1,0,2,14,6
2.62E+11,225,1092,1013,0,21,0,7,33,18
2.62E+11,26,887,855,0,0,0,5,14,13
2.62E+11,3,517,506,0,0,0,2,5,4
2.62E+11,16,1363,1309,4,0,0,7,22,21
2.62E+11,460,723,322,3,317,2,12,30,37
2.62E+11,93,1181,1151,5,1,0,8,9,7
2.62E+11,30,269,259,1,0,0,0,3,6
2.62E+11,38,652,586,0,56,0,1,5,4
2.62E+11,342,1017,906,10,8,0,15,43,35
2.62E+11,45,676,638,0,7,0,10,6,15
2.62E+11,16,660,652,1,5,0,0,2,0
2.62E+11,21,595,578,2,0,0,0,14,1
2.62E+11,415,1148,787,3,215,0,21,68,54
2.62E+11,0,0,0,0,0,0,0,0,0
2.62E+11,45,713,684,2,3,0,2,12,10
2.62E+11,40,2855,2788,5,1,0,11,30,20
2.62E+11,2,605,589,1,3,0,0,3,9
2.62E+11,1295,479,11,4,13,0,18,383,50
2.62E+11,25,1906,1847,7,1,0,4,34,13
2.62E+11,25,861,840,5,0,0,3,8,5
2.62E+11,833,207,26,0,23,0,6,125,27
2.62E+11,565,118,9,1,8,1,5,93,1
2.62E+11,147,587,516,1,0,0,19,27,24
2.62E+11,4,839,823,0,4,0,0,11,1
2.62E+11,797,308,21,3,1,0,2,261,20
2.62E+11,1011,415,6,0,3,0,3,366,37
2.62E+11,265,409,312,5,1,4,6,68,13
2.62E+11,1228,146,23,3,2,0,9,85,24
2.62E+11,425,1337,1083,10,124,4,13,65,38
2.62E+11,26,110,100,2,1,1,1,2,3
2.62E+11,451,123,6,1,5,0,1,101,9
2.62E+11,117,1609,1495,8,2,0,23,33,48
2.62E+11,1412,470,189,7,129,1,24,59,61
2.62E+11,67,856,821,4,2,0,1,16,12
2.62E+11,1465,156,37,0,78,1,16,2,22
2.62E+11,3,485,459,5,0,0,0,15,6
2.62E+11,12,738,714,1,1,0,0,11,11
2.62E+11,17,1753,1701,7,8,1,5,15,16
2.62E+11,12,579,546,0,0,0,13,5,15
2.62E+11,148,565,530,2,6,0,1,15,11
2.62E+11,15,748,736,0,0,0,0,7,5
2.62E+11,9,61,61,0,0,0,0,0,0
2.62E+11,3,202,201,0,0,0,0,1,0
2.62E+11,697,271,11,0,21,0,6,209,24
2.62E+11,650,158,2,0,0,0,7,119,30
2.62E+11,133,2023,1951,11,3,0,10,36,12
2.62E+11,24,173,166,2,0,0,0,2,3
2.62E+11,70,390,366,0,3,0,3,13,5
2.62E+11,8,663,647,2,0,1,0,13,0
2.62E+11,273,539,496,0,2,0,2,28,11
2.62E+11,595,18,0,1,0,0,4,3,10
2.62E+11,883,368,3,3,29,0,8,297,28
2.62E+11,1025,169,33,0,15,0,6,92,23
2.62E+11,57,221,214,0,0,0,0,6,1
2.62E+11,186,859,778,18,12,0,3,30,18
2.62E+11,4,538,517,0,0,0,1,12,8
2.62E+11,585,1706,1530,8,62,0,15,58,33
2.62E+11,739,1081,207,5,3,0,199,306,361
2.62E+11,178,551,321,7,4,0,59,32,128
2.62E+11,157,1101,687,8,0,0,179,7,220
2.62E+11,577,964,279,10,0,0,185,98,392
2.62E+11,692,219,26,2,11,0,20,126,34
2.62E+11,854,263,13,6,8,0,6,201,29
2.62E+11,1312,488,8,2,16,0,11,407,44
2.62E+11,0,281,272,0,0,0,2,4,3
2.62E+11,378,1160,1036,1,37,0,9,39,38
2.62E+11,615,1210,337,11,7,0,271,49,535
2.62E+11,7,765,740,1,0,0,7,6,11
2.62E+11,19,989,946,3,0,5,8,12,15
2.62E+11,75,1791,1728,5,9,0,9,12,28
2.62E+11,2554,1280,509,13,436,6,49,138,129
2.62E+11,460,51,23,3,10,0,1,7,7
2.62E+11,2064,529,88,5,322,0,18,48,48
2.62E+11,1933,310,83,2,117,2,13,40,53
2.62E+11,638,1674,322,8,40,0,448,81,775
2.62E+11,137,988,772,2,5,0,79,19,111
2.62E+11,122,211,144,3,0,0,11,21,32
2.62E+11,306,31,8,1,1,0,4,11,6
2.62E+11,22,313,268,5,0,0,7,8,25
2.62E+11,42,19,13,0,1,0,1,1,3
2.62E+11,234,676,610,15,9,0,7,11,24
2.62E+11,8,800,758,1,2,0,2,18,19
2.62E+11,387,1385,258,11,16,2,396,62,640
2.62E+11,414,949,214,8,71,0,217,30,409
2.62E+11,5,1212,1195,1,0,0,1,14,1
2.62E+11,1179,284,14,0,15,0,4,223,28
2.62E+11,1164,383,19,1,15,0,8,309,31
2.62E+11,527,404,72,5,19,0,68,93,147
2.62E+11,684,351,89,6,133,0,35,36,52
2.62E+11,99,411,312,7,0,0,32,23,37
2.62E+11,664,1518,158,13,9,0,400,140,798
2.62E+11,43,709,655,0,4,0,11,2,37
2.62E+11,352,1526,1507,0,6,0,3,1,9
2.62E+11,206,525,459,8,5,0,7,21,25
2.62E+11,1320,1103,123,18,10,3,181,375,393
2.62E+11,21,756,699,0,2,0,5,22,28
2.62E+11,653,1490,237,11,11,0,400,129,702
2.62E+11,866,848,60,10,5,2,208,188,375
2.62E+11,617,827,78,15,46,0,199,50,439
2.62E+11,1061,1862,117,27,26,0,588,83,1021
2.62E+11,545,1307,230,21,12,5,319,72,648
2.62E+11,673,975,118,3,20,0,228,74,532
2.62E+11,11,55,52,0,0,0,0,1,2
2.62E+11,191,80,3,6,7,0,2,48,14
2.62E+11,795,109,3,2,6,0,8,52,38
2.62E+11,867,367,8,11,12,0,9,304,23
2.62E+11,815,60,22,2,4,0,4,14,14
2.62E+11,586,15,1,1,2,0,0,6,5
2.62E+11,1323,295,166,6,25,0,10,48,40
2.62E+11,513,35,3,1,10,3,1,11,6
2.62E+11,131,15,2,4,0,0,3,2,4
2.62E+11,396,464,25,7,0,0,138,55,239
2.62E+11,26,95,77,2,6,0,1,2,7
2.62E+11,705,1132,72,7,30,0,333,56,634
2.62E+11,620,1416,100,4,0,0,493,68,751
2.62E+11,326,827,704,1,51,0,16,25,30
2.62E+11,5,38,34,1,1,0,0,2,0
2.62E+11,557,1743,164,17,1,2,497,91,971
2.62E+11,204,793,250,13,5,0,178,33,314
2.62E+11,0,6,6,0,0,0,0,0,0
2.62E+11,813,2195,127,11,17,2,765,79,1194
2.62E+11,1276,501,46,8,26,0,26,317,78
2.62E+11,965,77,11,10,14,0,1,17,24
2.62E+11,696,152,19,8,14,0,27,32,52
2.62E+11,462,1586,164,23,4,3,522,61,809
2.62E+11,687,1229,86,7,5,10,365,75,681
2.62E+11,573,1522,58,17,16,0,466,59,906
2.62E+11,542,1188,153,15,12,0,299,55,654
2.62E+11,1284,186,99,6,31,0,7,21,22
2.62E+11,627,1324,65,17,3,9,400,90,740
2.62E+11,334,549,63,3,0,0,134,37,312
2.62E+11,1092,1815,51,23,15,0,385,96,1245
2.62E+11,1612,753,56,3,37,1,13,600,43
2.62E+11,701,2066,51,12,0,0,682,76,1245
2.62E+11,302,811,42,2,1,0,277,54,435
2.62E+11,912,283,102,2,102,1,10,34,32
2.62E+11,929,1441,51,33,9,1,400,118,829
2.62E+11,641,937,209,20,4,0,183,56,465
2.62E+11,430,709,46,7,5,0,210,24,417
2.62E+11,601,1504,61,11,5,0,503,41,883
2.62E+11,540,1422,106,7,0,0,481,52,776
2.62E+11,687,87,24,0,15,0,9,22,17
2.62E+11,601,359,291,5,0,0,19,25,19
2.62E+11,1357,1655,602,3,873,0,17,87,73
2.62E+11,739,436,345,5,1,0,22,19,44
2.62E+11,660,447,352,7,1,0,17,34,36
2.62E+11,722,1957,158,14,0,0,602,116,1067
2.62E+11,548,32,7,4,3,0,1,7,10
2.62E+11,1407,102,32,1,11,0,2,26,30
2.62E+11,1365,192,88,4,26,0,15,24,35
2.62E+11,1036,105,34,7,24,0,6,9,25
2.62E+11,2877,635,149,10,315,0,11,58,92
2.62E+11,467,987,54,19,19,4,262,56,573
2.62E+11,6517,2069,655,22,1000,0,48,168,176
2.62E+11,365,811,52,18,1,1,240,46,453
2.62E+11,1216,186,51,2,57,0,12,22,42
2.62E+11,705,1821,52,22,14,6,616,85,1026
2.62E+11,0,0,0,0,0,0,0,0,0
2.62E+11,562,998,61,7,5,0,273,41,611
2.62E+11,937,78,15,3,12,0,7,23,18
2.62E+11,1042,2765,225,41,11,2,912,109,1465
2.62E+11,2,0,0,0,0,0,0,0,0
2.62E+11,372,85,0,0,3,1,0,81,0
2.62E+11,526,1153,38,24,5,4,368,49,665
2.62E+11,955,169,77,4,34,0,3,16,35
2.62E+11,521,896,30,17,0,0,268,43,538
2.62E+11,589,1284,97,35,6,2,397,82,665
2.62E+11,704,630,82,5,8,0,165,37,333
2.62E+11,557,1020,64,9,10,0,306,80,551
2.62E+11,1,29,28,0,0,0,0,0,1
2.62E+11,525,803,36,5,9,0,219,61,473
2.62E+11,546,1001,854,9,42,0,3,63,30
2.62E+11,330,949,873,3,0,0,6,53,14
2.62E+11,473,417,353,14,2,0,12,22,14
2.62E+11,320,774,696,7,1,0,10,39,21
2.62E+11,204,438,393,0,2,0,9,24,10
2.62E+11,1908,141,24,6,27,1,10,31,42
2.62E+11,127,405,231,5,0,0,60,18,91
2.62E+11,566,1093,54,28,0,0,361,57,593
2.62E+11,1539,663,10,0,89,0,6,534,24
2.62E+11,538,755,45,17,0,2,226,42,423
2.62E+11,1024,66,13,1,5,0,13,14,20
2.62E+11,719,1044,75,38,2,0,308,69,552
2.62E+11,614,758,41,13,0,2,219,41,442
2.62E+11,0,0,0,0,0,0,0,0,0
2.62E+11,3,5,2,0,0,0,1,0,2
2.62E+11,141,691,466,2,0,0,89,15,119
2.62E+11,185,6,0,0,0,1,0,1,4
2.62E+11,248,1009,891,16,25,0,18,39,20
2.62E+11,323,760,271,1,0,0,189,31,268
2.62E+11,680,47,7,2,4,2,1,19,12
2.62E+11,973,47,8,1,4,0,5,12,17
2.62E+11,1134,373,172,5,99,0,10,41,46
2.62E+11,630,126,79,11,5,0,5,13,13
2.62E+11,1738,355,116,17,28,0,31,56,107
2.62E+11,1137,145,79,1,6,0,5,33,21
2.62E+11,554,50,14,3,12,0,3,11,7
2.62E+11,611,76,17,8,12,0,2,11,26
2.62E+11,829,109,28,3,41,0,9,10,18
2.62E+11,1068,165,60,19,42,0,4,12,28
2.62E+11,2078,396,99,7,157,0,23,38,72
2.62E+11,851,234,125,7,28,0,7,21,46
2.62E+11,1106,189,11,7,18,0,23,18,112
2.62E+11,410,239,33,7,2,0,62,17,118
2.62E+11,45,617,596,0,4,0,1,13,3
2.62E+11,0,0,0,0,0,0,0,0,0
2.62E+11,763,82,15,13,0,0,9,24,21
2.62E+11,460,353,30,10,24,0,88,31,170
2.62E+11,1367,128,20,2,38,0,4,34,30
2.62E+11,980,69,16,16,4,0,1,16,16
2.62E+11,743,145,1,3,5,0,34,20,82
2.62E+11,58,761,733,0,1,0,5,20,2
2.62E+11,19,1117,1041,16,3,3,11,26,17
2.62E+11,1091,447,378,5,20,0,4,20,20
2.62E+11,686,52,6,7,7,0,11,5,16
2.62E+11,505,104,75,2,9,1,3,10,4
2.62E+11,520,47,16,3,2,0,2,7,17
2.62E+11,10,790,766,0,2,0,2,15,5
2.62E+11,973,68,17,3,8,0,2,24,14
2.62E+11,446,253,178,2,9,0,14,26,24
2.62E+11,284,480,98,10,1,0,125,27,219
2.62E+11,18,461,451,0,0,0,0,8,2
2.62E+11,540,722,238,0,10,0,133,32,309
2.62E+11,39,657,621,2,1,0,2,22,9
2.62E+11,795,121,7,4,8,0,19,25,58
2.62E+11,875,239,17,9,11,0,24,44,134
2.62E+11,0,0,0,0,0,0,0,0,0
2.62E+11,1091,224,20,5,12,1,45,27,114
2.62E+11,614,327,162,9,87,4,0,42,23
2.62E+11,919,52,1,1,6,1,7,12,24
2.62E+11,780,94,66,5,5,0,0,6,12
2.62E+11,29,548,533,0,2,0,0,11,2
2.62E+11,29,895,868,3,1,0,2,21,0
2.62E+11,531,59,6,8,7,0,1,22,15
2.62E+11,887,216,163,7,11,0,8,5,22
2.62E+11,44,1435,1377,3,5,0,4,37,9
2.62E+11,1574,215,67,8,19,0,23,36,62
2.62E+11,478,98,7,5,9,0,9,20,48
2.62E+11,86,619,590,3,0,0,5,12,9
2.62E+11,1515,439,145,18,37,2,39,56,142
2.62E+11,726,60,19,10,3,0,1,12,15
2.62E+11,686,189,31,10,31,0,16,17,84
2.62E+11,9,599,569,0,0,0,1,6,23
2.62E+11,808,43,2,8,5,0,1,13,14
2.62E+11,1539,625,333,11,6,0,47,64,164
2.62E+11,5,865,834,1,1,0,8,8,13
2.62E+11,337,130,90,8,1,0,2,9,20
2.62E+11,1158,116,57,3,2,0,2,37,15
2.62E+11,160,43,18,5,2,0,4,7,7
2.62E+11,2,1043,1017,1,2,0,1,12,10
2.62E+11,525,107,9,9,16,0,5,19,49
2.62E+11,9,865,827,5,0,0,13,4,16
2.62E+11,698,60,33,2,0,0,0,5,20
2.62E+11,747,66,7,3,9,0,8,21,18
2.62E+11,680,800,673,1,73,2,7,29,15
2.62E+11,590,39,6,6,1,0,1,5,20
2.62E+11,700,46,18,3,1,0,1,14,9
2.62E+11,473,105,53,2,4,1,4,17,24
2.62E+11,573,227,109,14,1,0,14,37,52
2.62E+11,541,93,50,11,0,0,3,8,21
2.62E+11,1,2,2,0,0,0,0,0,0
2.62E+11,715,121,15,9,16,1,12,16,52
2.62E+11,1,851,836,1,1,0,2,4,7
2.62E+11,395,230,122,10,1,1,29,12,55
2.62E+11,3,637,629,1,0,0,0,6,1
2.62E+11,1414,133,6,3,6,0,13,15,90
2.62E+11,651,172,97,5,2,0,9,18,41
2.62E+11,754,320,204,4,0,0,18,32,62
2.62E+11,856,342,195,9,1,3,16,35,83
2.62E+11,8,612,605,0,1,0,2,4,0
2.62E+11,1204,269,24,9,29,0,36,49,122
2.62E+11,1,608,604,0,0,0,0,4,0
2.62E+11,1838,470,353,10,10,2,7,53,35
2.62E+11,56,268,255,0,0,0,4,4,5
2.62E+11,888,79,9,11,4,0,6,11,38
2.62E+11,863,76,8,12,2,0,8,13,33
2.62E+11,131,1116,1047,5,1,0,20,28,15
2.62E+11,1507,204,101,22,0,0,14,34,33
2.62E+11,992,50,13,2,2,0,4,7,22
2.62E+11,1229,349,255,11,28,0,5,22,28
2.62E+11,660,417,279,5,8,0,28,43,54
2.62E+11,58,3,0,2,0,0,0,0,1
2.62E+11,14,853,822,1,0,1,0,20,9
2.62E+11,11,719,678,2,0,0,2,18,19
2.62E+11,11,853,827,2,0,0,1,15,8
2.62E+11,9,740,726,1,0,0,4,8,1
2.62E+11,14,698,678,0,9,0,1,6,4
2.62E+11,0,605,586,6,0,0,3,7,3
2.62E+11,918,55,4,6,2,0,1,15,27
2.62E+11,19,1009,976,2,0,0,3,16,12
2.62E+11,330,836,702,7,8,5,19,61,34
2.62E+11,1077,101,17,8,5,0,13,21,37
2.62E+11,13,664,654,2,0,0,4,4,0
2.62E+11,769,226,41,17,10,0,38,28,92
2.62E+11,3,562,543,0,0,0,2,6,11
2.62E+11,346,1089,990,6,2,0,10,53,28
2.62E+11,11,2,0,0,0,2,0,0,0
2.62E+11,807,28,1,1,1,0,0,0,25
2.62E+11,712,564,237,3,10,0,101,24,189
2.62E+11,893,610,447,14,10,0,11,83,45
2.62E+11,834,36,0,6,1,0,1,8,20
2.62E+11,793,255,62,7,0,1,47,37,101
2.62E+11,0,0,0,0,0,0,0,0,0
2.62E+11,112,12,0,0,0,0,0,5,7
2.62E+11,847,128,13,3,4,0,24,22,62
2.62E+11,970,85,19,5,9,0,5,14,33
2.62E+11,733,514,132,7,1,0,84,52,238
2.62E+11,940,108,12,4,2,0,20,11,59
2.62E+11,844,368,150,16,3,0,28,54,117
2.62E+11,469,44,8,5,6,1,3,10,11
2.62E+11,928,81,3,1,4,0,8,16,49
2.62E+11,836,84,6,6,3,0,9,12,48
2.62E+11,1012,426,118,10,6,1,69,40,182
2.62E+11,734,62,0,1,2,0,13,8,38
2.62E+11,519,50,0,2,8,0,10,1,29
2.62E+11,14,4,3,1,0,0,0,0,0
2.62E+11,1034,122,42,1,22,0,10,16,31
2.62E+11,1390,254,79,25,45,0,18,24,63
2.62E+11,582,32,2,6,0,0,2,4,18
2.62E+11,334,70,57,0,0,1,1,6,5
2.62E+11,492,45,4,8,6,0,5,7,15
2.62E+11,531,61,5,4,0,0,2,21,29
2.62E+11,994,75,2,4,11,0,9,13,36
2.62E+11,1158,110,5,0,11,0,5,18,71
2.62E+11,519,33,16,5,0,0,0,7,5
2.62E+11,290,21,11,1,0,0,0,4,5
2.62E+11,888,70,13,4,2,0,8,13,30
2.62E+11,823,57,8,5,1,1,3,15,24
2.62E+11,735,54,0,3,2,0,7,17,25
2.62E+11,178,556,502,10,0,2,14,14,14
2.62E+11,784,40,1,7,4,0,2,13,13
2.62E+11,888,70,13,4,2,0,8,13,30
2.62E+11,747,59,2,1,0,0,12,10,34
2.62E+11,937,105,12,7,0,0,13,20,53
2.62E+11,1198,124,34,1,13,1,17,12,46
2.62E+11,1025,89,10,9,0,0,10,19,41
2.62E+11,909,82,14,9,7,0,6,11,35
2.62E+11,786,65,2,2,1,0,10,18,32
2.62E+11,979,107,4,5,1,1,15,19,62
2.62E+11,856,38,1,0,7,0,2,11,17
2.62E+11,809,62,16,7,2,0,2,7,28
2.62E+11,634,252,146,1,19,0,21,25,40
2.62E+11,747,76,4,3,16,0,8,2,43
2.62E+11,1755,478,184,23,80,0,12,46,133
2.62E+11,1061,123,1,4,12,0,24,15,67
2.62E+11,1817,101,3,5,1,0,9,20,63
2.62E+11,1024,34,2,3,1,0,0,11,17
2.62E+11,826,88,1,4,1,1,16,10,55
2.62E+11,760,42,6,4,0,0,9,7,16
2.62E+11,883,96,6,5,4,2,13,35,31
2.62E+11,1668,330,73,21,79,0,22,53,82
2.62E+11,1114,85,3,10,16,0,5,20,31
2.62E+11,523,44,5,4,0,0,3,13,19
2.62E+11,812,60,2,4,4,0,4,25,21
2.62E+11,948,95,7,4,0,0,14,18,52
2.62E+11,1037,74,22,4,6,0,7,17,18
2.62E+11,785,69,1,5,1,0,12,10,40
2.62E+11,820,56,0,1,4,4,10,8,29
2.62E+11,806,51,6,9,2,0,3,13,18
2.62E+11,715,60,7,6,6,0,5,2,34
2.62E+11,1017,43,0,6,2,0,2,18,15
2.62E+11,627,44,1,0,12,0,3,5,23
2.62E+11,943,37,0,1,4,0,5,10,17
2.62E+11,462,60,4,1,13,0,4,19,19
2.62E+11,836,147,58,2,58,0,3,10,16
2.62E+11,1878,1686,1355,14,29,1,29,149,109
2.62E+11,1393,2040,1654,17,30,0,41,171,127
2.62E+11,1433,757,528,11,52,0,29,76,61
2.62E+11,905,385,288,2,4,0,7,47,37
2.62E+11,517,33,4,3,0,0,2,13,11
2.62E+11,883,113,39,4,5,0,9,22,34
2.62E+11,496,36,0,5,5,0,6,7,13
2.62E+11,1367,436,196,14,88,3,14,44,77
2.62E+11,1598,144,48,4,25,0,5,18,44
2.62E+11,711,17,3,1,4,0,0,2,7
2.62E+11,915,45,9,2,0,0,0,6,28
2.62E+11,591,38,2,7,5,0,0,10,14
2.62E+11,177,18,1,5,0,0,0,5,7
2.62E+11,534,27,4,2,6,0,0,6,9
2.62E+11,1123,58,16,5,1,0,5,7,24
2.62E+11,1445,73,9,3,21,2,4,7,27
2.62E+11,732,39,6,3,3,0,3,8,16
2.62E+11,1003,66,9,7,15,0,4,12,19
2.62E+11,563,32,1,5,12,0,0,2,12
2.62E+11,853,181,54,9,44,0,10,19,45
2.62E+11,0,0,0,0,0,0,0,0,0
2.62E+11,755,39,5,5,9,0,1,8,11
2.62E+11,2129,180,35,16,3,0,23,38,65
2.62E+11,590,27,0,3,4,1,2,11,6
2.62E+11,575,48,1,4,2,0,2,14,25
2.62E+11,1000,40,0,2,5,0,3,10,20
2.62E+11,773,31,0,5,3,0,3,9,11
2.62E+11,1120,78,1,11,5,0,4,23,34
2.62E+11,0,0,0,0,0,0,0,0,0
2.62E+11,703,36,3,2,2,0,2,13,14
2.62E+11,131,10,1,5,4,0,0,0,0
2.62E+11,1669,168,10,1,89,0,1,38,29
2.62E+11,1415,44,2,2,7,0,0,20,13
2.62E+11,1894,144,41,11,26,0,0,24,42
2.62E+11,662,35,8,3,7,0,0,7,10
2.62E+11,749,48,3,1,30,1,0,2,11
2.62E+11,623,27,5,5,4,0,2,2,9
